password_reuse,password_strength,password_change_freq,mfa_usage,click_unknown_links,verify_sender,report_suspicious_email,past_phishing_victim,training_completion,training_engagement,device_type,public_wifi_usage,unknown_usb_usage,social_media_oversharing,screen_lock_habit,credential_sharing,department,risk_level
Always,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,"Yes, likely",Sometimes,Ignore it,,"Yes, but over a year ago",Skip when possible,Shared/public device,Never,Never,Occasionally,Never,Occasionally,IT,Moderate
Always,Medium (word + numbers),Every 6-12 months,Sometimes,"Yes, likely",Never,Open it to check,Once,Never,Skip when possible,Shared/public device,Never,Never,Frequently,Never,Never,Other,High
Never,Simple (name/birthdate/common word),Every 1-3 months,Always,"Yes, likely",Sometimes,Delete it,Never,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Rarely,Only after scanning it,Frequently,Never,,Operations,Moderate
Always,Medium (word + numbers),Never,Sometimes,Rarely,Never,Delete it,Never,Never,"Very seriously, apply what I learn",Personal device (BYOD),Rarely,,Occasionally,Always,,Finance,Low
Sometimes,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Never,Always,Report to IT/Security,More than once,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Once,HR,Moderate
Always,Simple (name/birthdate/common word),Never,Always,"Yes, likely",Never,Report to IT/Security,More than once,Never,Skip when possible,Company-issued & managed,Frequently,Only after scanning it,Occasionally,Sometimes,Occasionally,Other,High
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,Sometimes,Always,Ignore it,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,Only after scanning it,Frequently,Never,Never,Sales & Marketing,Low
Always,Medium (word + numbers),Rarely,Never,"Yes, likely",Never,Ignore it,More than once,Never,Skip when possible,Shared/public device,Frequently,Only after scanning it,Frequently,Never,Occasionally,Sales & Marketing,Severe
Never,"Long & random (12+ chars, mixed)",Rarely,Sometimes,Sometimes,Always,Open it to check,Never,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Never,"Yes, if it looks harmless",Frequently,Never,Once,IT,Low
Always,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Never,Always,Open it to check,Once,Never,"Very seriously, apply what I learn",,Never,Never,Never,Never,Occasionally,Finance,Moderate
Often,Medium (word + numbers),,Always,"Yes, likely",Never,Ignore it,Once,Never,,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Always,Never,Sales & Marketing,High
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,"Yes, likely",Always,Report to IT/Security,Never,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Never,Never,Frequently,Always,Never,Finance,Moderate
Sometimes,Simple (name/birthdate/common word),Rarely,Always,Rarely,Always,Report to IT/Security,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Sometimes,Occasionally,Other,Low
Always,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Sometimes,Never,Delete it,Once,"Yes, but over a year ago",Attend but forget,Shared/public device,Never,Only after scanning it,Never,Sometimes,Occasionally,Sales & Marketing,High
Always,Medium (word + numbers),Never,Sometimes,"Yes, likely",Never,,Never,"Yes, but over a year ago",Attend but forget,,Never,Only after scanning it,Never,Always,Occasionally,Operations,Moderate
Often,Medium (word + numbers),Every 6-12 months,Sometimes,Rarely,Always,Report to IT/Security,Once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Rarely,Only after scanning it,Frequently,Never,Never,Operations,Low
Sometimes,,Every 6-12 months,Never,Sometimes,Never,Ignore it,,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Never,"Yes, if it looks harmless",Occasionally,Never,Occasionally,IT,Moderate
Often,"Long & random (12+ chars, mixed)",Rarely,Always,Sometimes,Always,Report to IT/Security,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Frequently,Never,Frequently,Sometimes,Once,IT,Moderate
Always,"Long & random (12+ chars, mixed)",Never,,Never,Never,Open it to check,Once,Never,Attend but forget,Personal device (BYOD),Never,"Yes, if it looks harmless",Never,,Once,Operations,High
Often,Simple (name/birthdate/common word),Never,Never,Never,Never,Delete it,More than once,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Never,"Yes, if it looks harmless",Never,Never,Once,Sales & Marketing,Moderate
Often,"Long & random (12+ chars, mixed)",Never,Never,"Yes, likely",Sometimes,Open it to check,More than once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Rarely,Only after scanning it,Frequently,Sometimes,Occasionally,Other,Moderate
Often,Medium (word + numbers),Every 1-3 months,Always,"Yes, likely",Always,Open it to check,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Frequently,Only after scanning it,Frequently,Never,Occasionally,IT,Moderate
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Sometimes,Delete it,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Never,Never,Never,Always,Never,Finance,Moderate
Sometimes,Medium (word + numbers),Never,Always,Never,Never,Report to IT/Security,Never,Never,Attend but forget,Shared/public device,Frequently,Never,Never,Never,Occasionally,Operations,Moderate
Never,"Long & random (12+ chars, mixed)",Never,Always,Never,Always,,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,,Never,Operations,Low
Never,,Every 6-12 months,Always,Never,Never,Report to IT/Security,Never,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,Never,Occasionally,,Never,Finance,Moderate
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Never,Always,Ignore it,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Frequently,Never,Occasionally,Always,Once,HR,Moderate
Always,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,Rarely,Never,Open it to check,Once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,IT,High
Always,"Long & random (12+ chars, mixed)",Rarely,Always,"Yes, likely",Sometimes,Delete it,More than once,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Only after scanning it,Never,Never,Once,HR,Moderate
Always,Medium (word + numbers),Every 6-12 months,Sometimes,Never,Always,Delete it,More than once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Rarely,"Yes, if it looks harmless",Never,Sometimes,Occasionally,Other,Moderate
Never,Medium (word + numbers),Never,Sometimes,"Yes, likely",Never,Open it to check,Once,Never,Attend but forget,Shared/public device,Frequently,Never,Occasionally,Never,Once,Sales & Marketing,High
Always,Medium (word + numbers),Never,Never,"Yes, likely",Always,Open it to check,Once,Never,Skip when possible,Company-issued & managed,Frequently,Only after scanning it,Frequently,Never,Occasionally,HR,Severe
Always,Simple (name/birthdate/common word),Never,Always,"Yes, likely",Never,Open it to check,Once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Frequently,Never,Occasionally,HR,Moderate
Sometimes,Simple (name/birthdate/common word),Rarely,Sometimes,"Yes, likely",Always,Report to IT/Security,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Frequently,Always,Never,Operations,Low
Sometimes,Simple (name/birthdate/common word),Every 1-3 months,Never,Rarely,Always,Open it to check,Once,Never,Attend but forget,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Never,Sometimes,Once,Other,Moderate
Always,"Long & random (12+ chars, mixed)",Never,Never,"Yes, likely",Sometimes,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Frequently,Only after scanning it,Frequently,Never,Occasionally,Other,Severe
Never,Simple (name/birthdate/common word),Never,Never,Never,Never,Delete it,More than once,Never,Skip when possible,Personal device (BYOD),Never,"Yes, if it looks harmless",Frequently,Never,Occasionally,Sales & Marketing,High
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Never,Never,Report to IT/Security,Never,"Yes, but over a year ago",Skip when possible,Shared/public device,Never,Never,Never,Always,Never,IT,Low
Always,Medium (word + numbers),Never,Never,"Yes, likely",Sometimes,Open it to check,Never,Never,Attend but forget,Personal device (BYOD),Frequently,Only after scanning it,Frequently,Never,Occasionally,Sales & Marketing,High
Always,Simple (name/birthdate/common word),Rarely,Never,Sometimes,Sometimes,Open it to check,More than once,Never,Skip when possible,Personal device (BYOD),Frequently,Only after scanning it,Frequently,Sometimes,Occasionally,Operations,Severe
Never,Simple (name/birthdate/common word),Every 1-3 months,Always,Sometimes,Sometimes,Report to IT/Security,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,Only after scanning it,Occasionally,Sometimes,Never,Finance,Moderate
Often,Simple (name/birthdate/common word),Never,Sometimes,Rarely,Never,Open it to check,Never,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Frequently,Never,Occasionally,Never,Once,Operations,Moderate
Often,Simple (name/birthdate/common word),Never,Sometimes,"Yes, likely",Never,Report to IT/Security,More than once,Never,Skip when possible,Company-issued & managed,Frequently,Only after scanning it,Occasionally,Never,Occasionally,Operations,High
Never,Medium (word + numbers),Every 1-3 months,Always,Never,Sometimes,Report to IT/Security,Once,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Frequently,Never,Frequently,Always,Never,Sales & Marketing,Low
Never,"Long & random (12+ chars, mixed)",Rarely,Sometimes,"Yes, likely",Always,Open it to check,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Frequently,Never,Frequently,Always,Once,IT,Moderate
Sometimes,Simple (name/birthdate/common word),Rarely,Always,Never,Always,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Never,Other,Low
Never,"Long & random (12+ chars, mixed)",Rarely,Never,Never,Sometimes,Report to IT/Security,Never,"Yes, but over a year ago",Skip when possible,Shared/public device,Never,Only after scanning it,Occasionally,Always,Once,Sales & Marketing,Moderate
Sometimes,Medium (word + numbers),Never,Never,"Yes, likely",Always,Open it to check,More than once,Never,Skip when possible,Company-issued & managed,Frequently,Only after scanning it,Frequently,Never,Once,Finance,High
Never,Medium (word + numbers),Never,Always,Sometimes,Never,Open it to check,Once,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Rarely,Only after scanning it,Frequently,Always,Occasionally,Operations,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Sometimes,Never,Report to IT/Security,Once,Never,Attend but forget,Personal device (BYOD),Frequently,Only after scanning it,Never,Never,Once,Sales & Marketing,High
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,Rarely,Always,Ignore it,Once,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,"Yes, if it looks harmless",Occasionally,Sometimes,Once,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Every 6-12 months,Never,Never,Never,Report to IT/Security,Once,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Never,Sometimes,Never,HR,High
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Rarely,Always,Delete it,Never,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,,Frequently,Always,Never,Operations,Low
Sometimes,Simple (name/birthdate/common word),Rarely,Never,Rarely,Always,Open it to check,More than once,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Sometimes,Never,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,Once,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Never,Never,Occasionally,Other,Severe
Sometimes,"Long & random (12+ chars, mixed)",Rarely,Sometimes,Never,Sometimes,Delete it,More than once,Never,Attend but forget,Shared/public device,Rarely,Only after scanning it,Never,Sometimes,Occasionally,IT,Low
Sometimes,Simple (name/birthdate/common word),Every 6-12 months,Never,Never,Sometimes,Delete it,Never,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Frequently,Never,Never,Always,Never,Finance,Low
Always,Medium (word + numbers),Never,Sometimes,Rarely,Always,Open it to check,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Frequently,Never,Occasionally,Sometimes,Occasionally,Finance,High
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Never,Report to IT/Security,Never,Never,Attend but forget,Company-issued & managed,Never,Only after scanning it,Never,Always,Never,Operations,Low
Sometimes,Simple (name/birthdate/common word),Rarely,Always,"Yes, likely",Never,Open it to check,Never,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),,,Frequently,Sometimes,Once,Finance,High
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Operations,Severe
Never,Simple (name/birthdate/common word),Never,Never,Never,Always,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Never,Only after scanning it,Occasionally,Always,Once,Operations,Low
Always,Medium (word + numbers),Rarely,Sometimes,Rarely,Always,Open it to check,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Frequently,Never,Occasionally,Operations,Moderate
Sometimes,Simple (name/birthdate/common word),Every 6-12 months,Never,Sometimes,Sometimes,Ignore it,More than once,Never,Attend but forget,Shared/public device,Frequently,Never,Frequently,Never,Once,Other,High
Often,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Sometimes,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Never,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,Finance,Moderate
Always,Simple (name/birthdate/common word),Every 6-12 months,Never,"Yes, likely",Never,Open it to check,Never,Never,Attend but forget,Company-issued & managed,Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,Operations,High
Never,Medium (word + numbers),Every 1-3 months,Always,Never,Always,Delete it,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Never,Always,Never,Other,Low
Sometimes,Medium (word + numbers),Every 1-3 months,Sometimes,Sometimes,Never,Ignore it,More than once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Rarely,Only after scanning it,Occasionally,Sometimes,Occasionally,Operations,Moderate
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Sometimes,Open it to check,Once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,HR,Severe
Always,Medium (word + numbers),Every 6-12 months,Always,"Yes, likely",Never,Ignore it,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",,Frequently,Only after scanning it,Never,,Once,Sales & Marketing,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Rarely,Never,Rarely,Never,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Rarely,Only after scanning it,,Always,Never,Operations,Low
Always,Simple (name/birthdate/common word),Never,Never,Sometimes,Never,Delete it,Once,"Yes, but over a year ago",Attend but forget,Shared/public device,Rarely,Only after scanning it,Never,Sometimes,Occasionally,Other,High
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Rarely,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,Never,Never,Always,Once,Finance,Low
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Delete it,More than once,Never,Skip when possible,Shared/public device,Frequently,Only after scanning it,Frequently,Always,Occasionally,Sales & Marketing,Severe
Often,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Always,,Once,"Yes, but over a year ago","Very seriously, apply what I learn",,Rarely,Only after scanning it,Never,Never,Once,Other,Low
Always,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Never,Always,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,Never,Occasionally,Sometimes,Once,Sales & Marketing,Moderate
Sometimes,Medium (word + numbers),Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Never,Never,,Always,Never,IT,Low
Never,Medium (word + numbers),Every 1-3 months,Always,Rarely,Sometimes,Open it to check,Once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Rarely,Never,Never,Always,Never,Operations,Low
Never,Simple (name/birthdate/common word),Every 6-12 months,Never,"Yes, likely",Never,Delete it,More than once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Frequently,Never,Occasionally,IT,High
Sometimes,Medium (word + numbers),Rarely,Always,"Yes, likely",Sometimes,Open it to check,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Always,Never,Finance,Moderate
Never,"Long & random (12+ chars, mixed)",Never,Never,"Yes, likely",Always,Delete it,Once,Never,Attend but forget,Personal device (BYOD),,Only after scanning it,Never,Always,Once,Other,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Sometimes,Report to IT/Security,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Rarely,Never,Frequently,Sometimes,Once,Finance,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Always,Delete it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Only after scanning it,Never,Always,Never,Finance,Low
Never,Simple (name/birthdate/common word),Every 6-12 months,Always,Never,Sometimes,Delete it,Never,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Never,Never,Never,Sometimes,Never,Other,Low
Sometimes,Medium (word + numbers),Never,Never,"Yes, likely",Always,Open it to check,More than once,Never,Skip when possible,Company-issued & managed,Frequently,Only after scanning it,Frequently,Never,Once,Finance,High
Always,Simple (name/birthdate/common word),Every 1-3 months,Always,"Yes, likely",Never,Open it to check,Once,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Frequently,Only after scanning it,Never,Sometimes,Occasionally,Operations,High
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,Never,Sometimes,Delete it,Once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Never,"Yes, if it looks harmless",Never,Never,Once,Finance,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Never,Always,Open it to check,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Frequently,Sometimes,Never,IT,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,Never,Always,Ignore it,Once,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Never,Never,Never,Always,Never,Operations,Low
Sometimes,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Never,Sometimes,Open it to check,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Rarely,Never,Never,Always,Occasionally,Finance,Low
Always,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Rarely,Sometimes,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Sometimes,Never,IT,Low
,Simple (name/birthdate/common word),Never,Never,Rarely,Never,Open it to check,Once,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Rarely,Never,Occasionally,Sometimes,Never,Operations,Moderate
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Sometimes,Open it to check,Never,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Never,Occasionally,Other,Severe
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,Never,Always,Report to IT/Security,Never,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Never,Never,Never,Always,Once,Sales & Marketing,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Frequently,Only after scanning it,Occasionally,Never,Never,HR,Low
Always,Simple (name/birthdate/common word),Never,Never,Sometimes,Never,Open it to check,Once,Never,Skip when possible,Shared/public device,Frequently,Only after scanning it,Frequently,Never,Occasionally,Sales & Marketing,Severe
Never,Medium (word + numbers),Rarely,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Never,Never,Sales & Marketing,Low
Often,Simple (name/birthdate/common word),Rarely,Never,Sometimes,Never,Open it to check,Never,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Never,Never,Once,Operations,Severe
Always,Simple (name/birthdate/common word),Never,Sometimes,"Yes, likely",Never,Open it to check,Once,Never,Skip when possible,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Occasionally,Never,Once,IT,High
Sometimes,Medium (word + numbers),Rarely,Always,"Yes, likely",Always,Open it to check,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Frequently,Only after scanning it,Occasionally,Always,Never,IT,Low
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,"Yes, likely",Sometimes,Open it to check,Once,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Rarely,"Yes, if it looks harmless",,Always,Once,Other,Moderate
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",,,Once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,Finance,Severe
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Ignore it,More than once,Never,Skip when possible,Personal device (BYOD),Never,"Yes, if it looks harmless",Frequently,Never,Occasionally,Finance,Severe
Often,Medium (word + numbers),Never,Always,Never,Always,Ignore it,Never,Never,Skip when possible,Company-issued & managed,Rarely,Never,Occasionally,Never,Once,Operations,Moderate
Never,"Long & random (12+ chars, mixed)",Rarely,Always,Sometimes,Always,Report to IT/Security,Never,Never,Skip when possible,Personal device (BYOD),Never,Only after scanning it,Never,Always,Never,Operations,Low
Never,Medium (word + numbers),Every 1-3 months,Sometimes,"Yes, likely",Always,Delete it,Once,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Never,Only after scanning it,Occasionally,Always,Never,Operations,Low
Always,"Long & random (12+ chars, mixed)",Never,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Occasionally,Sometimes,Occasionally,IT,Severe
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Rarely,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Sometimes,Never,Finance,Low
Often,Simple (name/birthdate/common word),Rarely,Sometimes,"Yes, likely",Sometimes,Ignore it,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Rarely,Only after scanning it,Frequently,Never,Never,IT,Low
Never,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Sometimes,Report to IT/Security,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Frequently,Only after scanning it,Frequently,Always,Occasionally,Finance,Low
Never,Medium (word + numbers),Rarely,Always,Rarely,Always,Open it to check,Once,Never,"Very seriously, apply what I learn",Shared/public device,Never,Only after scanning it,Never,Always,Never,Operations,Low
Often,Simple (name/birthdate/common word),Never,Never,Sometimes,Sometimes,Report to IT/Security,Never,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Once,Finance,High
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Sometimes,Delete it,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Operations,Severe
Often,Simple (name/birthdate/common word),Every 6-12 months,Always,Rarely,Sometimes,Open it to check,Once,"Yes, but over a year ago",Skip when possible,Shared/public device,Frequently,Never,Frequently,Sometimes,Occasionally,HR,High
Never,"Long & random (12+ chars, mixed)",Rarely,Never,Rarely,Always,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Never,Never,IT,Low
Never,Simple (name/birthdate/common word),Never,Sometimes,"Yes, likely",Sometimes,Open it to check,Once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Never,Occasionally,Sales & Marketing,High
,Simple (name/birthdate/common word),Every 6-12 months,Always,Rarely,Never,Ignore it,Once,"Yes, but over a year ago",Attend but forget,Company-issued & managed,,Never,Occasionally,Always,Occasionally,Operations,Low
Always,Simple (name/birthdate/common word),Never,,"Yes, likely",Never,Open it to check,More than once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Once,Operations,Severe
Always,Simple (name/birthdate/common word),Rarely,Always,"Yes, likely",Sometimes,Ignore it,Never,Never,"Very seriously, apply what I learn",Company-issued & managed,Rarely,Only after scanning it,Frequently,Sometimes,Occasionally,Other,Moderate
Sometimes,Medium (word + numbers),Rarely,Sometimes,Never,Sometimes,Open it to check,More than once,Never,"Very seriously, apply what I learn",Shared/public device,Never,,Frequently,Never,Never,Sales & Marketing,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Rarely,Never,Never,Always,Never,Other,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Rarely,Never,Never,Sometimes,Never,HR,Low
Never,Medium (word + numbers),Every 1-3 months,Always,Rarely,Always,Delete it,More than once,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Only after scanning it,Never,Always,Never,HR,Low
Always,Simple (name/birthdate/common word),Rarely,Never,Sometimes,Sometimes,Ignore it,More than once,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Rarely,Never,Frequently,Never,Occasionally,IT,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Never,Report to IT/Security,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Rarely,Never,Never,Never,Once,Operations,Low
,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Frequently,Only after scanning it,Frequently,Never,Once,IT,High
Always,Simple (name/birthdate/common word),Rarely,Always,Sometimes,Sometimes,Ignore it,More than once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Never,Sometimes,Never,IT,Moderate
Often,"Long & random (12+ chars, mixed)",Never,Sometimes,Never,Always,Report to IT/Security,Once,Never,Skip when possible,Shared/public device,Never,Never,Never,Never,Occasionally,Sales & Marketing,Moderate
Never,Medium (word + numbers),Rarely,Always,Never,Sometimes,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Never,Never,Occasionally,Never,Never,IT,Low
Often,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Always,Report to IT/Security,More than once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Never,"Yes, if it looks harmless",Occasionally,Never,Occasionally,IT,Moderate
Often,"Long & random (12+ chars, mixed)",Rarely,Always,Rarely,Never,Open it to check,More than once,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Frequently,Never,Never,Never,Never,Finance,Moderate
Never,"Long & random (12+ chars, mixed)",Never,Always,Never,Always,Report to IT/Security,More than once,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Never,Finance,Low
